1,0.84,0.84
1.25,0.84,0.87
1.5,0.84,0.89
1.75,0.84,0.91
2,0.93,0.93
2.25,0.93,0.94
2.5,0.93,0.95
2.75,0.93,0.96
3,0.96,0.96
3.25,0.96,0.97
3.5,0.96,0.97
3.75,0.96,0.98
4,0.98,0.98
4.25,0.98,0.99
4.5,0.98,0.99
4.75,0.98,0.99
5,0.99,0.99
5.25,0.99,0.99
5.5,0.99,1
5.75,0.99,1
6,1,1
6.25,1,0.99
6.5,1,0.98
6.75,1,0.96
7,0.95,0.95
7.25,0.95,0.94
7.5,0.95,0.93
7.75,0.95,0.92
8,0.91,0.91
8.25,0.91,0.89
8.5,0.91,0.87
8.75,0.91,0.85
9,0.83,0.83
